id,district,street,house_number,metro_station,metro_distance_min,area_m2,living_area_m2,kitchen_area_m2,rooms,floor,total_floors,house_type,wall_material,year_built,repair,balcony,ceiling_height_m,bathroom_type,has_elevator,has_parking,has_furniture,heating_type,window_view,security,deal_type,seller_type,price_rub,price_per_m2,listing_date
912,Московский,Победы,105,Заречная,36,42.8,25.3,6.8,3,8,12,Панельный,Кирпич,1994,Требует капремонта,Балкон + лоджия,2.97,Раздельный,Нет,Да,Нет,Центральное,На парк,Нет,Аренда,Агентство,7851659,183450,2026-05-16
913,Восточный,Мира,142,Северная,30,89.5,64.6,13.3,4,9,13,Деревянный,Панель,2019,Требует капремонта,Нет,2.91,Совмещенный,Да,Да,Да,Автономное,На улицу,Нет,Продажа,Застройщик,12019313,134294,2026-03-10
914,Ленинский,Гагарина,24,Проспект Мира,5,40.5,26.7,9.3,2,3,6,Деревянный,Кирпич,2004,Дизайнерский,Лоджия,3.37,Совмещенный,Нет,Нет,Да,Центральное,На парк,Нет,Продажа,Агентство,5300559,130878,2025-07-08
915,Кировский,Ленина,190,Заречная,22,100.3,55.6,11.7,4,7,12,Монолитный,Монолит,1985,Евроремонт,Балкон,3.24,2 санузла,Нет,Нет,Нет,Центральное,Во двор,Нет,Аренда,Собственник,25404686,253287,2025-09-08
916,Западный,Мира,60,Юбилейная,5,122.6,72.6,14.3,4,4,9,Монолитный,Дерево,1998,Косметический,Балкон,2.61,Совмещенный,Да,Нет,Да,Электрическое,Смешанный,Нет,Аренда,Собственник,25615676,208937,2025-12-10
917,Приморский,Молодежная,145,Южная,8,88.9,58.1,13.6,4,16,16,Панельный,Монолит,1988,Косметический,Лоджия,3.38,Совмещенный,Нет,Нет,Да,Газовое,Смешанный,Да,Аренда,Собственник,21353424,240196,2025-10-29
918,Западный,Молодежная,123,Юбилейная,33,131.1,75.5,10.7,1,14,22,Панельный,Панель,1973,Евроремонт,Балкон,2.54,Раздельный,Да,Нет,Нет,Электрическое,Во двор,Да,Аренда,Собственник,40311283,307485,2026-07-04
919,Кировский,Пушкина,94,Северная,18,124.5,78.7,15.6,6,2,9,Монолитный,Монолит,2013,Требует капремонта,2 лоджии,3.38,Совмещенный,Да,Нет,Да,Газовое,Смешанный,Да,Аренда,Собственник,26146369,210011,2025-08-26
920,Ленинский,Лесная,52,Проспект Мира,43,91.7,66.4,9.3,5,10,21,Кирпичный,Монолит,2022,Требует капремонта,Нет,3.02,Совмещенный,Да,Нет,Да,Газовое,На улицу,Да,Продажа,Агентство,25026488,272917,2025-05-06
921,Советский,Молодежная,135,Юбилейная,27,82.0,51.9,12.8,6,1,12,Блочный,Панель,1978,Требует капремонта,Лоджия,2.85,Совмещенный,Нет,Да,Нет,Центральное,Во двор,Нет,Аренда,Агентство,22585670,275435,2025-02-08
922,Ленинский,Строителей,152,Университет,23,123.7,76.3,11.2,6,12,20,Панельный,Панель,2000,Евроремонт,Нет,3.12,2 санузла,Нет,Да,Нет,Центральное,На парк,Нет,Продажа,Застройщик,27448287,221894,2026-07-19
923,Приморский,Ленина,106,Спортивная,2,106.4,70.4,21.3,1,2,12,Деревянный,Дерево,1972,Дизайнерский,Нет,2.88,Раздельный,Нет,Да,Да,Электрическое,На улицу,Нет,Продажа,Собственник,15285424,143660,2026-03-04
924,Западный,Гагарина,133,Северная,24,93.1,60.5,5.4,6,12,16,Кирпичный,Панель,1988,Евроремонт,Балкон,3.39,2 санузла,Да,Нет,Да,Центральное,Смешанный,Да,Продажа,Агентство,11568606,124260,2025-10-07
925,Кировский,Победы,115,Юбилейная,24,128.6,74.1,18.2,3,9,10,Панельный,Монолит,2007,Без ремонта,Балкон,2.84,Раздельный,Нет,Нет,Да,Автономное,На улицу,Да,Аренда,Собственник,26353740,204928,2026-04-19
926,Приморский,Мира,175,Автозаводская,32,60.3,41.9,14.2,5,17,25,Блочный,Кирпич,2003,Дизайнерский,2 лоджии,2.65,Совмещенный,Нет,Нет,Нет,Автономное,На парк,Да,Продажа,Застройщик,18753601,311005,2026-05-21
927,Кировский,Гагарина,168,Автозаводская,42,130.5,89.3,15.5,4,8,28,Деревянный,Монолит,1987,Без ремонта,Лоджия,2.54,Совмещенный,Да,Да,Да,Центральное,На парк,Да,Продажа,Агентство,29856834,228788,2026-02-21
928,Советский,Гагарина,140,Проспект Мира,44,119.9,66.7,7.7,5,9,26,Блочный,Кирпич,1985,Без ремонта,Балкон + лоджия,2.93,2 санузла,Да,Нет,Нет,Электрическое,На парк,Нет,Продажа,Застройщик,32615677,272024,2026-06-22
929,Южный,Пушкина,40,Автозаводская,29,41.8,23.5,9.1,2,15,22,Деревянный,Кирпич,2026,Требует капремонта,2 лоджии,2.67,2 санузла,Нет,Нет,Нет,Автономное,Во двор,Нет,Аренда,Собственник,8969026,214570,2025-03-23
930,Фрунзенский,Молодежная,98,Северная,43,79.6,57.8,12.7,1,14,14,Монолитно-кирпичный,Монолит,2026,Косметический,Балкон + лоджия,2.8,Совмещенный,Нет,Нет,Нет,Автономное,На парк,Да,Аренда,Застройщик,9200247,115581,2025-01-16
931,Кировский,Садовая,181,Парк Культуры,18,117.8,70.5,7.3,5,26,27,Кирпичный,Дерево,2015,Евроремонт,Балкон,2.73,2 санузла,Да,Нет,Нет,Автономное,На улицу,Да,Продажа,Собственник,9394550,79750,2026-06-08
932,Южный,Ленина,170,Юбилейная,8,73.9,46.3,13.8,3,3,20,Кирпичный,Дерево,1998,Требует капремонта,2 лоджии,2.84,Раздельный,Да,Нет,Нет,Центральное,На парк,Да,Аренда,Агентство,7035206,95199,2025-12-09
933,Фрунзенский,Советская,1,Площадь Ленина,42,42.5,24.5,15.0,5,9,23,Монолитно-кирпичный,Панель,1967,Косметический,2 лоджии,3.21,2 санузла,Да,Нет,Да,Центральное,На улицу,Да,Аренда,Агентство,9787112,230285,2025-03-01
934,Ленинский,Пушкина,100,Университет,3,53.1,34.0,16.5,2,10,12,Кирпичный,Монолит,1986,Без ремонта,Балкон,3.1,Раздельный,Да,Да,Да,Электрическое,На парк,Да,Аренда,Застройщик,12569194,236708,2025-10-07
935,Приморский,Мира,164,Автозаводская,11,109.3,62.1,16.0,3,6,25,Кирпичный,Кирпич,1984,Требует капремонта,Балкон,2.86,Совмещенный,Да,Да,Да,Центральное,На парк,Нет,Продажа,Застройщик,25335193,231795,2026-01-05
936,Московский,Строителей,44,Юбилейная,9,132.5,96.3,10.3,5,2,12,Деревянный,Монолит,2025,Косметический,Балкон,2.61,2 санузла,Нет,Нет,Нет,Газовое,На реку,Да,Аренда,Агентство,20573010,155268,2026-02-22
937,Октябрьский,Победы,53,Заречная,37,45.9,31.0,5.9,3,26,26,Кирпичный,Монолит,2024,Требует капремонта,Нет,3.33,2 санузла,Нет,Нет,Нет,Центральное,На парк,Да,Аренда,Агентство,5953459,129705,2025-04-29
938,Южный,Университетская,27,Парк Культуры,30,78.0,50.5,13.7,2,15,26,Монолитно-кирпичный,Панель,1959,Евроремонт,Балкон + лоджия,3.18,Раздельный,Нет,Нет,Нет,Электрическое,На парк,Нет,Продажа,Агентство,13572468,174006,2025-02-17
939,Фрунзенский,Победы,198,Университет,16,25.4,16.1,21.6,3,17,21,Монолитно-кирпичный,Панель,2016,Косметический,Нет,3.15,Раздельный,Нет,Нет,Нет,Газовое,Во двор,Нет,Аренда,Застройщик,6065469,238798,2026-06-25
940,Приморский,Университетская,19,Спортивная,36,60.7,43.6,9.0,6,8,26,Блочный,Панель,2006,Без ремонта,Лоджия,3.19,2 санузла,Нет,Да,Да,Газовое,Смешанный,Нет,Аренда,Застройщик,5178620,85315,2025-02-05
941,Фрунзенский,Ленина,165,Проспект Мира,41,65.8,47.3,21.6,5,5,30,Монолитно-кирпичный,Панель,1985,Требует капремонта,Лоджия,3.35,Раздельный,Да,Нет,Нет,Электрическое,Во двор,Да,Аренда,Собственник,12471403,189535,2025-09-10
942,Западный,Ленина,131,Юбилейная,25,108.3,79.9,12.4,4,1,12,Монолитный,Газобетон,1962,Косметический,2 лоджии,3.2,2 санузла,Да,Нет,Да,Автономное,Во двор,Нет,Аренда,Собственник,29401500,271482,2025-04-21
943,Московский,Советская,81,Заречная,44,151.6,87.1,12.7,6,12,14,Монолитный,Кирпич,1966,Дизайнерский,Балкон + лоджия,2.64,Раздельный,Да,Да,Нет,Центральное,Во двор,Да,Продажа,Застройщик,20662018,136293,2026-05-27
944,Фрунзенский,Победы,94,Проспект Мира,5,77.6,47.2,19.2,1,6,18,Монолитно-кирпичный,Монолит,1964,Евроремонт,Нет,2.57,Совмещенный,Нет,Да,Нет,Автономное,На реку,Да,Продажа,Агентство,13084446,168614,2025-01-15
945,Южный,Ленина,186,Университет,4,125.4,87.0,13.7,4,7,12,Кирпичный,Монолит,1967,Евроремонт,Лоджия,2.95,Совмещенный,Нет,Нет,Нет,Электрическое,Смешанный,Да,Продажа,Агентство,21548234,171836,2026-03-24
946,Западный,Советская,59,Юбилейная,15,128.1,90.0,19.3,6,6,13,Деревянный,Дерево,1994,Косметический,Балкон + лоджия,3.12,2 санузла,Да,Да,Да,Центральное,Во двор,Нет,Аренда,Застройщик,28529663,222714,2025-06-16
947,Западный,Строителей,109,Университет,8,103.0,77.1,17.7,6,8,20,Панельный,Монолит,1983,Косметический,2 лоджии,2.75,Совмещенный,Да,Нет,Да,Центральное,Во двор,Да,Продажа,Агентство,21871947,212349,2026-05-27
948,Южный,Молодежная,116,Спортивная,27,117.4,74.5,7.5,4,1,4,Деревянный,Панель,1988,Требует капремонта,2 лоджии,3.34,Раздельный,Нет,Нет,Нет,Центральное,На реку,Нет,Продажа,Агентство,12941236,110232,2026-02-28
949,Ленинский,Гагарина,84,Спортивная,44,59.9,36.4,17.0,2,3,12,Монолитно-кирпичный,Дерево,1984,Евроремонт,Балкон + лоджия,2.51,Совмещенный,Да,Нет,Нет,Автономное,На реку,Нет,Продажа,Агентство,8198393,136868,2025-03-27
950,Западный,Советская,119,Площадь Ленина,22,46.4,27.2,6.6,3,4,6,Монолитный,Монолит,2003,Косметический,Лоджия,3.07,Раздельный,Да,Нет,Нет,Автономное,Во двор,Да,Продажа,Застройщик,10620264,228885,2026-01-19
951,Приморский,Мира,13,Северная,37,33.6,24.6,5.9,3,1,4,Панельный,Газобетон,1982,Евроремонт,2 лоджии,3.02,Раздельный,Нет,Да,Нет,Центральное,Во двор,Нет,Продажа,Собственник,2774856,82585,2025-05-14
952,Восточный,Советская,81,Заречная,19,155.1,111.9,16.9,2,8,14,Панельный,Газобетон,2025,Без ремонта,Лоджия,2.52,Раздельный,Да,Нет,Нет,Газовое,Смешанный,Нет,Продажа,Собственник,46009949,296647,2025-02-26
953,Фрунзенский,Победы,43,Заречная,40,37.7,26.1,19.9,3,14,20,Монолитный,Кирпич,1985,Евроремонт,Нет,3.22,2 санузла,Да,Нет,Да,Газовое,На реку,Нет,Продажа,Застройщик,9318874,247185,2026-06-20
954,Южный,Пушкина,145,Юбилейная,15,27.0,18.1,13.1,5,3,5,Деревянный,Газобетон,1999,Косметический,Лоджия,3.31,Совмещенный,Да,Нет,Да,Автономное,На парк,Нет,Продажа,Агентство,3182139,117857,2025-05-17
955,Московский,Пушкина,2,Площадь Ленина,6,79.8,58.1,19.3,5,7,24,Деревянный,Дерево,1967,Требует капремонта,2 лоджии,2.96,2 санузла,Да,Да,Нет,Газовое,Смешанный,Нет,Продажа,Застройщик,14610023,183083,2025-08-27
956,Московский,Ленина,140,Юбилейная,19,74.6,52.6,21.9,6,7,13,Блочный,Монолит,1970,Косметический,Балкон + лоджия,3.38,Совмещенный,Да,Да,Да,Газовое,На реку,Да,Аренда,Застройщик,19266270,258261,2025-03-23
957,Приморский,Гагарина,48,Площадь Ленина,11,87.5,49.8,12.4,1,8,30,Кирпичный,Дерево,1983,Косметический,Балкон + лоджия,2.73,2 санузла,Нет,Да,Да,Газовое,На улицу,Да,Аренда,Застройщик,22008175,251522,2025-01-26
958,Приморский,Победы,196,Южная,14,139.5,76.8,13.9,2,3,6,Блочный,Монолит,1967,Без ремонта,Балкон + лоджия,2.76,Совмещенный,Нет,Нет,Нет,Газовое,Во двор,Нет,Продажа,Агентство,31097061,222918,2026-05-20
959,Западный,Молодежная,1,Автозаводская,16,65.7,41.0,8.9,2,6,9,Кирпичный,Дерево,1985,Без ремонта,Нет,2.72,2 санузла,Да,Да,Нет,Центральное,На улицу,Да,Продажа,Застройщик,4875005,74201,2025-01-22
960,Кировский,Строителей,19,Северная,20,148.6,94.8,18.4,3,8,16,Кирпичный,Панель,2014,Требует капремонта,Балкон + лоджия,3.26,Раздельный,Нет,Нет,Нет,Газовое,Во двор,Да,Продажа,Собственник,12886146,86717,2025-09-03
961,Ленинский,Мира,58,Северная,4,122.5,68.1,20.2,5,13,17,Блочный,Газобетон,1959,Без ремонта,Лоджия,2.88,Совмещенный,Нет,Нет,Да,Автономное,На улицу,Да,Продажа,Собственник,30103395,245742,2025-10-16
962,Советский,Пушкина,94,Заречная,5,43.2,27.8,5.8,1,10,10,Деревянный,Панель,1995,Косметический,Балкон,3.1,Совмещенный,Да,Да,Нет,Автономное,На улицу,Да,Продажа,Собственник,6602860,152844,2026-04-17
963,Восточный,Садовая,140,Проспект Мира,42,79.9,45.3,12.8,3,3,5,Монолитный,Дерево,1984,Требует капремонта,Нет,3.13,Совмещенный,Нет,Нет,Да,Центральное,На реку,Да,Продажа,Собственник,21412880,267996,2026-05-26
964,Советский,Ленина,83,Юбилейная,8,102.3,70.4,9.2,6,9,11,Монолитный,Газобетон,1994,Дизайнерский,Лоджия,2.89,2 санузла,Нет,Да,Да,Центральное,Во двор,Нет,Аренда,Собственник,28659651,280153,2025-06-21
965,Кировский,Лесная,37,Юбилейная,25,101.7,58.2,18.0,5,3,9,Монолитно-кирпичный,Панель,1993,Евроремонт,Лоджия,3.12,Совмещенный,Нет,Да,Нет,Автономное,Во двор,Да,Продажа,Застройщик,21485345,211262,2026-01-01
966,Восточный,Ленина,171,Парк Культуры,3,38.7,28.3,13.9,5,21,22,Блочный,Монолит,1986,Дизайнерский,2 лоджии,2.75,Раздельный,Нет,Нет,Нет,Электрическое,На улицу,Нет,Аренда,Застройщик,8692136,224603,2026-05-23
967,Южный,Советская,47,Заречная,11,27.3,15.2,20.7,5,3,13,Монолитный,Дерево,1975,Косметический,Лоджия,2.94,2 санузла,Да,Да,Нет,Автономное,На парк,Да,Продажа,Собственник,3550310,130048,2025-02-04
968,Центральный,Победы,105,Заречная,25,104.0,62.7,22.0,1,3,5,Деревянный,Панель,1965,Без ремонта,2 лоджии,3.29,Совмещенный,Нет,Нет,Да,Автономное,На парк,Да,Продажа,Агентство,25696008,247077,2026-05-25
969,Южный,Садовая,113,Площадь Ленина,40,105.1,60.7,5.8,6,1,29,Блочный,Кирпич,1990,Без ремонта,Лоджия,3.07,Совмещенный,Нет,Да,Да,Центральное,Во двор,Да,Аренда,Собственник,29872993,284234,2026-01-23
970,Приморский,Кирова,22,Парк Культуры,24,154.2,98.9,6.9,4,13,21,Кирпичный,Панель,2004,Косметический,2 лоджии,2.86,Совмещенный,Нет,Нет,Да,Электрическое,На улицу,Нет,Аренда,Агентство,11086054,71894,2025-10-14
971,Западный,Строителей,135,Площадь Ленина,14,98.8,67.3,7.0,4,21,28,Монолитный,Кирпич,1967,Дизайнерский,Балкон + лоджия,2.56,2 санузла,Нет,Нет,Да,Автономное,Смешанный,Нет,Аренда,Агентство,23782740,240716,2025-12-24
972,Западный,Лесная,178,Северная,38,119.8,68.6,13.1,4,6,25,Монолитный,Монолит,1992,Дизайнерский,Нет,3.15,Раздельный,Да,Нет,Да,Автономное,На улицу,Нет,Продажа,Собственник,27816721,232193,2026-02-25
973,Московский,Гагарина,144,Проспект Мира,6,68.5,41.6,21.0,1,9,9,Панельный,Монолит,1958,Косметический,Балкон,2.78,Раздельный,Нет,Да,Нет,Центральное,Во двор,Да,Продажа,Застройщик,20082419,293174,2026-01-28
974,Фрунзенский,Гагарина,55,Автозаводская,33,130.0,91.6,12.1,6,7,9,Блочный,Дерево,2012,Евроремонт,Нет,2.72,Совмещенный,Нет,Да,Нет,Электрическое,Смешанный,Нет,Продажа,Агентство,25807080,198516,2025-02-10
975,Фрунзенский,Университетская,78,Площадь Ленина,35,145.7,106.7,18.0,1,19,26,Кирпичный,Кирпич,1976,Евроремонт,Нет,3.03,2 санузла,Да,Нет,Нет,Центральное,На парк,Нет,Продажа,Застройщик,29602160,203172,2025-08-23
976,Советский,Молодежная,89,Южная,36,124.7,77.8,8.7,5,6,6,Кирпичный,Монолит,1962,Косметический,2 лоджии,3.21,Совмещенный,Да,Нет,Да,Электрическое,На улицу,Да,Аренда,Собственник,22032744,176686,2025-07-11
977,Кировский,Победы,164,Парк Культуры,32,68.6,49.3,15.8,1,4,13,Деревянный,Монолит,1978,Косметический,Нет,3.21,Совмещенный,Да,Нет,Да,Электрическое,Смешанный,Да,Аренда,Агентство,8921841,130056,2025-09-13
978,Советский,Лесная,62,Спортивная,3,43.7,29.4,19.3,2,12,20,Монолитно-кирпичный,Дерево,1987,Косметический,Нет,2.66,Совмещенный,Нет,Да,Нет,Центральное,На реку,Нет,Продажа,Агентство,9426920,215719,2025-01-25
979,Фрунзенский,Строителей,159,Северная,44,84.8,58.2,6.6,6,7,7,Панельный,Кирпич,1971,Евроремонт,Лоджия,3.28,2 санузла,Да,Нет,Да,Автономное,Смешанный,Нет,Продажа,Собственник,26261796,309691,2025-04-15
980,Западный,Кирова,95,Парк Культуры,19,142.9,79.7,5.8,3,2,9,Панельный,Монолит,1979,Дизайнерский,Лоджия,3.05,Совмещенный,Нет,Да,Да,Центральное,На улицу,Нет,Продажа,Агентство,27874645,195064,2025-04-25
981,Московский,Ленина,196,Парк Культуры,28,130.9,97.2,16.0,2,14,18,Кирпичный,Кирпич,2002,Евроремонт,2 лоджии,2.8,Совмещенный,Да,Да,Нет,Автономное,На улицу,Нет,Продажа,Агентство,29811820,227745,2026-02-04
982,Октябрьский,Пушкина,16,Парк Культуры,42,31.6,20.8,15.2,6,2,19,Панельный,Газобетон,1989,Без ремонта,Лоджия,2.61,2 санузла,Нет,Да,Да,Центральное,На улицу,Нет,Продажа,Застройщик,8515410,269475,2025-12-07
983,Московский,Молодежная,91,Заречная,21,56.2,37.3,18.1,5,10,24,Панельный,Кирпич,1968,Евроремонт,Нет,2.95,Раздельный,Да,Нет,Да,Газовое,На улицу,Нет,Продажа,Собственник,17927406,318993,2025-03-27
984,Центральный,Строителей,74,Автозаводская,34,130.8,88.7,6.2,1,9,10,Панельный,Панель,1976,Косметический,Лоджия,2.9,Совмещенный,Нет,Нет,Да,Электрическое,На улицу,Нет,Аренда,Застройщик,23191494,177305,2026-03-07
985,Фрунзенский,Пушкина,50,Проспект Мира,18,125.6,83.0,12.5,5,2,16,Панельный,Монолит,1995,Требует капремонта,Балкон,2.55,Раздельный,Да,Нет,Да,Автономное,Во двор,Нет,Аренда,Собственник,24404708,194305,2025-10-19
986,Кировский,Садовая,192,Заречная,7,113.1,65.0,17.9,5,18,24,Кирпичный,Монолит,2003,Без ремонта,2 лоджии,2.57,2 санузла,Да,Нет,Нет,Электрическое,На реку,Нет,Аренда,Собственник,20729872,183288,2025-11-05
987,Московский,Садовая,54,Юбилейная,45,155.1,103.6,7.6,1,4,21,Кирпичный,Дерево,1978,Требует капремонта,Балкон + лоджия,3.15,2 санузла,Да,Нет,Нет,Автономное,Во двор,Нет,Аренда,Агентство,34036229,219447,2026-06-24
988,Кировский,Советская,79,Спортивная,27,72.4,45.7,15.2,3,8,12,Блочный,Дерево,1978,Дизайнерский,2 лоджии,2.52,Раздельный,Да,Да,Нет,Автономное,Во двор,Нет,Продажа,Агентство,6725380,92892,2025-06-22
989,Южный,Пушкина,158,Автозаводская,44,51.8,37.0,19.4,2,20,23,Монолитный,Панель,2010,Дизайнерский,Балкон + лоджия,3.27,2 санузла,Да,Да,Нет,Автономное,На улицу,Нет,Аренда,Агентство,13863907,267643,2025-01-11
990,Московский,Мира,13,Северная,2,86.0,57.4,7.7,3,1,23,Монолитный,Газобетон,2012,Евроремонт,2 лоджии,3.19,Совмещенный,Да,Нет,Нет,Газовое,Во двор,Да,Аренда,Застройщик,27075810,314835,2025-09-27
991,Северный,Молодежная,27,Автозаводская,7,119.3,85.1,19.1,6,8,25,Блочный,Монолит,2023,Требует капремонта,Балкон,2.8,2 санузла,Нет,Да,Нет,Электрическое,Во двор,Нет,Продажа,Агентство,36986459,310029,2025-03-25
992,Центральный,Молодежная,119,Заречная,30,92.5,51.4,19.2,1,12,15,Кирпичный,Кирпич,1995,Без ремонта,Балкон,2.82,Совмещенный,Да,Да,Нет,Центральное,На реку,Нет,Аренда,Собственник,21115900,228280,2026-02-16
993,Приморский,Гагарина,92,Спортивная,32,140.3,92.6,20.2,4,7,21,Монолитно-кирпичный,Кирпич,2022,Требует капремонта,Нет,2.82,2 санузла,Да,Да,Нет,Газовое,На парк,Нет,Аренда,Застройщик,42226371,300972,2025-07-16
994,Октябрьский,Ленина,97,Юбилейная,42,131.5,91.0,14.5,5,24,30,Монолитно-кирпичный,Панель,2013,Требует капремонта,Нет,3.18,2 санузла,Нет,Да,Да,Электрическое,Смешанный,Да,Продажа,Собственник,33305794,253276,2025-01-19
995,Московский,Садовая,15,Площадь Ленина,7,92.4,52.5,14.2,2,5,6,Деревянный,Панель,1972,Косметический,Балкон,2.64,Совмещенный,Нет,Нет,Да,Автономное,На улицу,Нет,Продажа,Собственник,21638971,234188,2026-03-02
996,Приморский,Кирова,148,Заречная,28,80.3,58.1,14.0,6,26,27,Блочный,Монолит,1964,Евроремонт,2 лоджии,3.35,Совмещенный,Нет,Да,Нет,Автономное,Во двор,Нет,Аренда,Агентство,19285008,240162,2025-10-08
997,Южный,Ленина,89,Автозаводская,35,59.6,40.6,12.2,5,8,28,Блочный,Газобетон,1967,Требует капремонта,2 лоджии,2.75,2 санузла,Нет,Нет,Нет,Центральное,Смешанный,Да,Аренда,Агентство,11151756,187110,2025-12-28
998,Ленинский,Гагарина,84,Заречная,44,139.2,96.4,15.2,4,12,19,Кирпичный,Газобетон,1959,Требует капремонта,Балкон + лоджия,3.14,Совмещенный,Нет,Да,Да,Автономное,На парк,Нет,Аренда,Застройщик,33447532,240284,2025-05-28
999,Южный,Мира,7,Южная,22,122.0,76.3,7.9,4,12,13,Деревянный,Монолит,1984,Требует капремонта,Нет,3.28,Раздельный,Да,Да,Нет,Центральное,На реку,Да,Продажа,Собственник,10487852,85966,2026-03-10
1000,Северный,Ленина,119,Юбилейная,41,128.9,78.9,8.0,2,3,6,Кирпичный,Газобетон,1990,Евроремонт,Нет,3.39,Раздельный,Да,Нет,Да,Газовое,На реку,Нет,Аренда,Застройщик,39805866,308812,2026-04-21
1001,Московский,Победы,4,Проспект Мира,14,25.9,16.3,15.8,5,21,22,Блочный,Газобетон,2013,Дизайнерский,Нет,3.0,2 санузла,Да,Нет,Нет,Центральное,На реку,Да,Аренда,Застройщик,8247078,318420,2025-10-16
1002,Приморский,Молодежная,121,Автозаводская,44,146.8,108.4,8.8,6,3,6,Панельный,Панель,1960,Дизайнерский,Лоджия,2.85,Совмещенный,Да,Нет,Да,Автономное,Во двор,Нет,Аренда,Агентство,34978770,238275,2026-03-20
1003,Северный,Пушкина,137,Площадь Ленина,42,25.9,16.5,20.6,5,11,13,Монолитно-кирпичный,Панель,1987,Без ремонта,2 лоджии,3.09,Совмещенный,Да,Нет,Нет,Электрическое,На реку,Нет,Продажа,Собственник,2582929,99727,2025-12-12
1004,Западный,Советская,117,Северная,25,118.0,66.2,18.7,1,26,26,Блочный,Панель,1992,Без ремонта,Лоджия,3.08,Раздельный,Нет,Нет,Нет,Автономное,Во двор,Да,Аренда,Агентство,19292764,163498,2025-04-23
1005,Южный,Пушкина,150,Спортивная,39,24.6,17.0,10.0,5,4,11,Блочный,Кирпич,2014,Евроремонт,Балкон + лоджия,3.2,Совмещенный,Да,Нет,Нет,Автономное,На реку,Нет,Продажа,Застройщик,4093710,166411,2025-03-09
1006,Октябрьский,Садовая,143,Южная,44,159.2,111.6,14.8,2,7,17,Деревянный,Панель,2011,Требует капремонта,Балкон + лоджия,2.71,Раздельный,Нет,Да,Да,Газовое,Во двор,Да,Аренда,Застройщик,30229851,189886,2025-08-18
1007,Фрунзенский,Гагарина,32,Заречная,9,62.1,36.6,13.4,4,19,24,Деревянный,Монолит,2019,Без ремонта,Нет,3.08,Раздельный,Да,Да,Нет,Центральное,Смешанный,Нет,Продажа,Агентство,10562651,170091,2025-05-24
1008,Восточный,Кирова,169,Площадь Ленина,40,127.0,83.3,21.2,4,4,20,Монолитный,Монолит,1959,Евроремонт,2 лоджии,3.39,Раздельный,Нет,Да,Нет,Электрическое,На парк,Да,Продажа,Агентство,35919029,282827,2026-04-17
1009,Советский,Садовая,127,Университет,43,80.6,50.7,14.0,2,12,24,Монолитный,Дерево,2017,Евроремонт,2 лоджии,2.67,2 санузла,Да,Да,Да,Газовое,Смешанный,Нет,Продажа,Застройщик,7564390,93851,2025-02-20
1010,Приморский,Советская,42,Северная,7,71.6,43.1,19.2,6,4,6,Деревянный,Газобетон,1958,Дизайнерский,Балкон + лоджия,3.21,Совмещенный,Да,Нет,Да,Автономное,Смешанный,Нет,Аренда,Агентство,13426503,187521,2026-07-03
1011,Московский,Университетская,178,Южная,41,128.0,91.7,11.6,4,5,7,Монолитно-кирпичный,Кирпич,2003,Евроремонт,Нет,3.05,Раздельный,Да,Да,Нет,Центральное,На реку,Нет,Продажа,Агентство,20380672,159224,2025-02-08
1012,Восточный,Строителей,157,Площадь Ленина,29,147.9,85.9,8.8,2,16,25,Монолитный,Панель,1989,Дизайнерский,Лоджия,3.0,Совмещенный,Да,Да,Нет,Газовое,На реку,Нет,Продажа,Агентство,14238037,96268,2025-01-28
1013,Ленинский,Строителей,192,Автозаводская,27,89.4,54.2,5.4,6,8,9,Панельный,Дерево,2005,Дизайнерский,2 лоджии,3.13,Раздельный,Нет,Нет,Да,Автономное,Во двор,Да,Аренда,Застройщик,26642183,298011,2026-01-30
1014,Ленинский,Молодежная,194,Автозаводская,26,155.4,115.7,11.5,2,1,7,Монолитный,Газобетон,1975,Требует капремонта,Нет,2.98,Совмещенный,Нет,Да,Да,Центральное,На реку,Да,Продажа,Собственник,43578511,280428,2026-05-03
1015,Восточный,Мира,189,Парк Культуры,14,107.5,73.2,11.4,5,21,28,Монолитный,Монолит,1960,Евроремонт,Лоджия,3.14,Раздельный,Нет,Нет,Да,Центральное,Смешанный,Да,Продажа,Агентство,12089772,112463,2026-04-20
1016,Фрунзенский,Победы,8,Парк Культуры,2,35.5,19.9,13.9,6,5,27,Кирпичный,Дерево,2003,Евроремонт,Нет,3.39,Совмещенный,Нет,Нет,Нет,Газовое,На улицу,Нет,Аренда,Агентство,7939823,223657,2026-04-20
1017,Северный,Строителей,75,Автозаводская,41,32.3,22.4,12.1,2,12,19,Деревянный,Кирпич,2016,Требует капремонта,2 лоджии,2.77,Раздельный,Да,Нет,Да,Газовое,Во двор,Нет,Продажа,Застройщик,5981992,185201,2026-03-29
1018,Кировский,Университетская,44,Парк Культуры,28,148.9,102.7,15.2,6,13,23,Кирпичный,Кирпич,2000,Евроремонт,Нет,2.93,2 санузла,Да,Да,Нет,Автономное,Смешанный,Нет,Продажа,Агентство,37699693,253188,2026-06-08
1019,Приморский,Молодежная,144,Заречная,40,59.0,36.2,16.9,1,6,10,Монолитно-кирпичный,Газобетон,1974,Без ремонта,2 лоджии,3.18,Раздельный,Нет,Нет,Да,Центральное,Смешанный,Да,Продажа,Застройщик,4517689,76571,2025-11-13
